Siduri,SiduriMakorPitzul,wave,s_seker,MishkalMb,HRibitShnatit,HHashkaotShnatit,HDividendShnatit,HSchirutShnatit,HEsekShnatit,sumHAnashimShnatit,sumHGemelShnatit,sumHHishShnatit,sumHHulShnatit,sumHMilgaShnatit,sumHPensiaShnatit,sumHMosdotShnatitnew,SacShnatikolel_Lembnew,zkifa_PensiaLemb,SachNefashot,Nefashot0_17,Nefashot18up,Men18up,Women18up,AimShinuiKtovet,KesefHutzAcher,MeshivHitnahalut,m_SetachMigrashBayitprati,SugMatbeaHutzAcher,HaskaPikdon1,HaskaChisachon1,HaskaNeemanut1,HaskaLoNeemanut1,SchumHalvaaLoDiyur1,m_HalvaaDiyur,m_HalvaaLoDiyur,m_MisgeretAshrai,m_YeshAshrai,M_ShuviDira,YitraNEMenayotBAhuz1,YitraNEMenayotBSchum1,YitraNEAgachMemshaltiBAhuz1,YitraNEAgachMemshaltiBSchum1,Ozeret1,k_ShaotOzeret1,TahasokaAcheretOzeret1,TahasokaOzeretMesh1,TahasokaOzeretSiu1,TahasokaOzeretYeLed1,Meconit1,k_MispMeconiyot1,Sfarim1,meshiv_hacnasot,MazavKAtid1,MazavKAvar1,ChisachonAtid1,ChisachonHayom1,Meshiv_Nechasim,IdkunBaalut1,IdkunMegurimSchirut1,k_baalut1,m_DmeSchirutChodeshi,SinuyDira21,SinuyDiraP21,SugDira1,MisparKoma1,MspDirotBeKomatMegurim1,MispKomotBinyan1,MispDirotBinyan1,DiraMedurag1,SetachBayitpratY1,SetachDira1,MekorSetach1,K_MispHadarim1,K_MispHadarimMegurim1,MirpesetSherut1,ChederAronot1,MachsanBetochD1,MachsanMiD1,KamaSherutim1,ChanayaPratit1,AimMekura1,Maaliyot1,MirpesetChitzonit1,KamaMirpeset1,GinaPratit1,KamaGinaPratit1,GodelGinaPratit1,k_mizug1,HasakaPratit1,Kivun1,KamaKivun1,NofYam1,NofSetachYarok1,NofGag1,NofKvish1,NofRakevet1,NofAntena1,NofKvishPnimi1,NofSetachPatuch1,BaayaChoshech1,BaayaKvish1,BaayaRakevet1,BaayaMatos1,BaayaBiluy1,BaayaChinuch1,BaayaMifal1,BaayaZevel1,BaayaZihum1,ShanaBniya1,OfenBaalut1,Mocher1,ShanaRechishaK1,ChodeshRechishaK1,MechirKnuya1,MatbeaKnuya1,ShanaRechishaB1,ChodeshRechishaB1,OfenBaalutMigrash1,MechirBniya1,MatbeaBniya1,AlutBniya1,MatbeaAlutBniya1,HagdalatDira1,SinuyimPnimiimBDira1,ShuviDiraYoter1,BaalutDiraLLoBealim1,BaalutDiraLLoBealimKama1,AtidMechiraDira1,AtidMechiraDiraN1,BaalutDiraNosefet1,BaalutDiraNosefetKama1,DiraNosefet121,DiraNosefetP121,KarkaAcheret1,m_MechirDiraKnuyaB12,m_KesefKniyaAtidit,KarkaChaklait1,KarkaChaklaitSetach1,MdidaKarkaChaklait,KarkaLoChaklait1,KamaKarkaLoChaklait1,GodelKarkaLoChaklait1,MdidaKarkaLoChaklait,m_Mechirkarka,KibelMechirDiraN1,KniyaAtiditDira1,MechiraDiraNKama1,MechiraDiraNosefet1,ShuviDirotLoMegurim1,GemelVPizuyimMB1,BituachMenahalimMb1,kPensiaMB1,PikdonotMB1,TChisachonMB1,kHishMB1,kNeemanutMB1,Cluster2015,ADechiyaMoedTashlum1,AKredit1,APrisatTushlum1,CheshbonChasum1,HalvaaLoDiyurAcher1,HalvaaLoDiyurAshrai1,HalvaaLoDiyurAvoda1,HalvaaLoDiyurBank1,HalvaaLoDiyurBituach1,HalvaaLoDiyurLising1,HeviDoch1,KesefHutzD1,KesefHutzDinarY1,KesefHutzE1,KesefHutzL1,MatbeaChisachon1,MatbeaHutz1,MatbeaLoNeemanut1,MatbeaNeemanut1,MatbeaPikdon1,MenayotMB1,Minus1,PniyaBank1,ShiirochChisachonChodesh1,ShiirochChisachonShana1,ShiirochChisachonYom1,ShiirochLoNeemanutChodesh1,ShiirochLoNeemanutShana1,ShiirochLoNeemanutYom1,ShiirochNeemanutChodesh1,ShiirochNeemanutShana1,ShiirochNeemanutYom1,ShiirochPikdonChodesh1,ShiirochPikdonShana1,ShiirochPikdonYom1,SugCheshbon1,m_SchumHalvaaDiyur1,M_ChodashimMinus1,M_PeamimPniyaBank1,M_ChodashimCheshbonChasum1,m_KesefMB1,OmdanShuviDira
6412,,6,2018,1231.241997,0,0,0,0,0,0,0,0,0,0,0,21551.25,309551.25,0,3,1,2,1,1,1,,1,,,,,,,50000,1,1,20000,1,1400000,,,,,2,,,,,,1,2,3,1,3,3,3,3,1,1,,1,,2,2,4,,4,10,4,2,,100,4,4,3,1,2,2,1,2,1,2,2,1,1,,,,1,3,8,2,2,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,9,1,1,2014,6,1300000,1,,,,,,,,,,3,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,1,1,1,2,2,1,2,8,2,1,1,2,2,2,2,1,2,2,2,,,,,,2,,,,2,1,2,,,,,,,,,,,,,1,800000,3,,,3,
6414,,6,2018,371.2855076,0,0,0,0,0,0,0,0,0,0,0,0,156000,0,1,0,1,0,1,2,,2,,,,30000,,,,2,2,8000,1,,,,,,2,,,,,,1,1,2,2,3,3,4,2,2,,,2,3250,,,4,0,1,1,,2,,35,4,2,2,2,2,2,2,1,2,,0,2,,2,,,2,3,6,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,99999998,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,1,2,1,2,1,1,2,8,2,2,1,,,,,,,,,,,,,1,2,,,,2,2,,8,2018,1,,,,,,,,,,1,0,,,,3,
6415,,6,2018,921.6493056,0,0,0,0,0,0,0,0,0,16800,0,15188.83333,135159.3788,0,6,4,2,1,1,,,2,,,,,,,,2,2,5000,1,,,,,,2,,,,,,1,1,4,2,3,3,2,2,2,,,2,2800,,,4,0,4,4,,2,,45,4,3,3,2,2,2,2,1,2,,0,2,,2,,,,3,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,99999998,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,700000,2,,,2,,,,,,1,,2,,1,2,1,2,2,1,2,7,2,2,1,2,,,,,,,,,,,,,2,,,,2,1,2,,,,,,,,,,,,,1,0,6,,,5,
6418,,6,2018,161.950823,0,0,0,0,0,0,0,0,0,0,0,550,25421.5,0,3,1,2,1,1,2,,4,,,,130000,,,,2,2,1000,1,,,,,,2,,,,,,1,2,4,4,99999998,3,2,2,4,,,2,3850,,,2,0,2,2,,1,,99999998,,2,2,2,2,2,2,1,2,,0,,,1,,99999998,2,3,7,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,10,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,1,2,2,8,2,2,2,,,,,,,,,,,,,1,2,,,,2,2,,12,2018,10,,,,,,,,,,1,0,,,,5,
6422,,6,2018,602.7040461,0,0,0,0,0,0,0,0,0,0,0,22538.5,385954.5,0,4,2,2,1,1,1,,7,,,,2500,,,,1,2,20000,1,1800000,,,,,2,,,,,,1,2,2,6,3,3,2,2,6,1,,1,,2,2,4,,2,5,2,2,,125,1,4,1,1,1,1,1,2,1,2,1,1,1,,,,3,3,6,3,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,10,1,2,2015,12,1400000,1,,,,,,,,,,3,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,1,1,1,2,1,1,2,5,2,1,1,,,,,,,,2,,,,,1,2,,,,2,2,,7,2018,11,,,,,,,,,,1,750000,,,,5,1224270.228
6423,,6,2018,1367.418149,0,0,0,24000,0,0,0,0,0,0,0,0,169000,0,3,0,3,2,1,1,,7,,,,,,,80000,1,1,1000,1,2000000,,,,,2,,,,,,1,1,5,7,1,1,1,1,7,1,,1,,2,2,2,,2,3,2,2,,99999998,,5,5,1,2,2,2,3,1,2,0,2,,,,,2,3,4,4,2,2,2,2,2,,1,2,2,2,2,2,2,1,2,2,,99999998,1,1,99999998,99999998,99999998,,,,,,,,,,,,1,1,2,2,,,,1,2,460000,,2,,,2,,,,,,2,,2,550000,2,2,1,2,2,2,2,1,2,2,1,,2,2,2,1,2,1,2,2,,2,2,,1,,,,2,2,,,,,,,,,,,,,,1,190000,,,,5,
6424,,6,2018,429.0897362,0,0,0,0,0,0,0,0,0,0,0,525,50265,0,2,1,1,0,1,1,,1,,,,,,,60000,2,1,5000,2,,,,,,2,,,,,,1,1,3,1,3,3,4,3,1,,,2,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,2,2,2,8,,,,2,2,2,2,1,2,2,,,,,,,2,,,,2,1,1,,,,,,,,,,,,,1,0,12,2,,1,
6425,,6,2018,390.129405,3500,2000,0,0,0,0,0,0,0,0,0,14932.75,312354.9722,0,3,1,2,1,1,1,,3,,,50000,3000,,,,1,2,20000,1,1500000,,,,,2,,,,,,1,2,3,3,2,4,2,2,3,1,,1,,2,2,4,,4,8,4,2,,90,4,4,2,1,2,2,1,1,1,2,1,2,,2,,,1,3,3,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,7,1,1,2016,12,1300000,1,,,,,,,,,,1,,,1,,2,,,2,2,,1800000,2,,,2,,,,,,1,,2,,1,1,1,1,1,1,2,6,2,2,1,,,,,,,,2,,,,,1,2,,,1,2,2,,8,2018,5,,,,,,,8,2018,5,1,680000,,,,99999998,1584316.837
6428,,6,2018,700.1122065,0,0,0,0,0,0,0,0,0,0,0,0,102000,0,1,0,1,1,0,,,3,,,,,,,,2,2,10000,1,,,,,,2,,,,,,1,1,2,3,3,2,2,2,3,,,2,2500,,,4,2,2,3,,2,,50,4,3,2,2,2,2,2,1,2,,0,1,,2,,,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,99999998,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,2,2,2,8,2,2,2,2,,,,,,,,,,,,,2,,,,2,1,1,,,,,,,,,,,,,1,0,3,3,,3,
6431,,6,2018,526.5979188,0,0,0,30000,0,0,0,0,0,0,0,900,318900,0,4,1,3,2,1,1,,3,,,,,45000,,230000,1,1,70000,1,3000000,,,,,1,1,2,1,2,2,1,2,2,3,3,3,4,2,3,1,,1,,2,2,5,,,,,2,,240,3,5,5,1,1,2,2,4,1,2,0,1,1,,,,2,3,5,3,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,10,2,,,,,,2011,10,1,520000,1,1100000,1,,,,,,2,2,1,1,,2,2,,,2,,,2,,,,,,2,,2,,1,1,1,2,2,1,1,8,2,2,2,2,2,1,2,1,2,2,2,,,,,,2,,1,,2,1,2,,,,,,,7,2018,23,,,,2,900000,12,,,3,3402645.208
6432,,6,2018,777.6796432,0,0,0,0,0,0,0,0,0,0,0,2712,114312,0,4,2,2,1,1,,,8,,,,,,,,2,1,8000,1,,,,,,2,,,,,,1,1,5,8,3,1,2,2,8,,,2,750,,,8,,,,,2,,50,4,3,3,2,2,2,2,1,2,,0,2,,2,,,1,3,99999998,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,9,,,,,,,,,,,,,,,,,2,,,,,,1,,2,930000,,2,,,2,,,,,,2,,2,,1,2,1,2,2,2,2,3,2,2,1,,1,2,2,2,2,2,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,5,
6433,,6,2018,369.6052177,0,0,0,0,0,36000,0,0,0,0,0,0,90000,0,1,0,1,1,0,,,3,,,,,,,,2,2,10000,1,,,,,,2,,,,,,2,,3,3,3,3,4,3,3,,,2,2500,,,4,0,2,8,,2,,65,4,3,2,1,2,2,2,1,2,,1,2,,2,,,2,3,4,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,99999998,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,2,2,2,5,2,2,2,2,,,,,,,,,,,,,2,,,,2,1,1,,,,,,,,,,,,,1,0,12,2,,1,
6435,,6,2018,545.5705654,0,0,0,0,0,0,0,0,0,0,0,5412.666667,119745.6667,0,4,2,2,1,1,1,,5,,,,,,,,2,2,1000,1,99999998,,,,,2,,,,,,1,1,2,5,4,3,4,5,5,1,,1,,2,2,4,,2,4,2,2,,100,4,2,2,2,2,2,2,1,2,,0,2,,,,,3,3,4,3,2,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,10,2,,,,,,99999998,99999998,3,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,1,1,1,2,2,2,2,3,1,1,1,2,,,,,,,,,,,,,2,,,,2,1,1,,,,,,,,,,,,,1,0,2,2,,1,
6439,,6,2018,328.6210252,0,0,0,0,0,0,0,0,0,0,0,37859.5,234417.5,0,2,1,1,0,1,1,,4,,,99999999,99999999,,,,1,2,20000,1,99999998,,,,,1,1,2,1,2,2,1,1,3,4,3,2,2,1,4,1,,1,,2,2,4,,4,11,4,2,,90,4,4,3,1,2,2,1,3,1,1,2,1,1,,,,1,3,8,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,9,1,1,2015,5,2400000,1,,,,,,,,,,,,,2,2,1,99999999,,2,2,,,1,99999998,99999998,2,,,,99999999,,2,,2,,2,2,1,1,1,1,2,8,2,2,1,,,,,,,,2,99999999,,99999999,,,1,,,,2,2,,0,,,,,,,,,0,,,1,99999998,,,,5,3347793.857
6440,,6,2018,1094.823501,0,0,0,0,0,0,0,0,0,0,0,0,78000,0,3,1,2,1,1,1,,5,,,30000,,,,,1,2,15000,1,99999998,,,,,2,,,,,,1,1,3,5,3,3,3,3,5,1,,1,,2,2,4,,2,2,1,2,,70,3,3,3,2,2,2,2,1,2,,0,1,1,,,,2,3,4,2,2,2,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,3,1,1,2016,2,735000,1,,,,,,,,,,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,1,2,2,2,5,2,2,1,2,,,,,,,2,,,,,,2,,,1,2,1,1,,,,,,,,,,1,2019,1,1,600000,12,2,,1,732507.3641
6441,,6,2018,1061.551942,0,0,0,0,0,0,0,0,0,0,0,0,156000,0,4,2,2,1,1,2,,6,,,,99999998,,,20000,1,1,1000,1,,,,,,2,,,,,,1,1,5,6,3,3,3,3,6,,,2,2300,,,8,,,,,2,,60,4,3,2,2,2,2,2,1,2,,0,1,,2,,,2,3,6,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,,99999998,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,1,1,478,1,650000,,2,,2,,1,2,1,2,1,1,2,5,2,2,2,,2,2,2,1,2,2,2,,,,,,2,,,,2,2,,0,,,,,,,,,,,,1,180000,,,,3,
6442,,6,2018,296.3374046,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,1,0,1,0,1,1,,2,,,,,,,,2,2,5000,2,,,,,,2,,,,,,2,,2,2,3,3,4,3,2,,1,2,1900,,,4,,2,2,1,2,,99999998,,3,1,2,2,2,2,1,2,,0,1,1,,,,2,3,5,1,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,2,2,2,8,,,,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,4,
6443,,6,2018,288.7737105,0,0,0,0,0,0,0,0,0,0,31200,15976,105176,0,1,0,1,0,1,2,,2,,,,,,,,1,2,2000,1,1560000,,,,,2,,,,,,2,,2,2,3,3,3,2,2,,,1,,,,5,,,,,2,,150,4,5,4,1,2,1,2,2,1,2,0,2,,1,,60,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,8,3,,,,,,,,,,,,,2,2,,,,2,99999998,1,1,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,5,2,2,1,,,,,,,,2,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,800000,,,,3,1302193.125
6446,,6,2018,935.7053841,0,0,0,0,0,0,0,0,0,0,0,4062,510462,0,4,2,2,1,1,1,,2,,,,,,,,1,2,25000,1,1800000,,,,,2,,,,,,1,2,3,2,3,3,1,1,2,1,,1,,2,2,4,,4,8,4,2,,110,3,5,3,1,2,2,1,2,1,2,2,1,1,,,,1,3,1,3,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,99999998,1,1,2015,7,1600000,1,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,1,1,1,2,2,1,2,6,2,2,1,,,,,,,,2,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,500000,,,,2,
6448,,6,2018,246.6864431,0,0,0,0,0,0,0,0,0,0,0,0,144000,0,4,2,2,1,1,1,,1,,,,,,,,2,2,7000,1,1900000,,,,,2,,,,,,1,2,4,1,3,3,2,3,1,1,,1,,2,2,4,,4,14,5,2,,100,4,4,2,1,2,2,1,2,1,2,2,1,1,,,,1,3,5,2,2,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,8,1,1,2012,4,1470000,1,,,,,,,,,,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,1,1,1,2,2,1,2,6,2,2,2,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,5,1672156.655
6449,,6,2018,604.9868384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,,,1,,,,400000,,,,2,2,70000,1,,,,,,1,1,2,1,2,2,1,1,3,1,3,3,4,4,1,,,2,11000,,,4,13,2,30,,2,,130,2,4,3,2,1,1,1,3,1,1,3,1,,2,,,1,1,4,2,1,1,1,1,2,99999998,1,2,2,1,2,2,2,2,2,2,2,9,,,,,,,,,,,,,,,,,1,1,,2,,,2,,2,,,2,,,2,,,,,,2,,2,99999998,2,2,2,2,1,2,2,8,2,2,2,,,,,,,,,,,4,,1,1,,,,2,2,,10,2018,15,,,,,,,,,,1,0,,,,5,
6450,,6,2018,383.2638404,0,0,0,0,0,0,0,0,0,0,0,700,296550.4,0,3,1,2,1,1,2,,6,,,50000,,,250000,60000,2,1,10000,1,,,,,,2,,,,,,1,1,3,6,3,2,3,3,6,,,2,5400,,,4,1,2,3,,2,,85,4,2,1,2,2,2,2,1,2,,0,2,,2,,,2,3,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,99999998,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,1,99999998,1,1,2,1,2,8,2,2,1,,2,2,2,1,2,2,,,,,,,2,1,,1,1,2,,,,,6,2018,30,,,,6,2018,30,1,0,,,,5,
6451,,6,2018,221.5728048,0,0,0,0,0,0,0,0,0,0,0,0,79500,0,1,0,1,1,0,1,,3,,,,10000,,,,2,2,10000,1,,,,,,2,,,,,,2,,4,3,2,3,2,2,3,,1,2,2700,,,4,,3,4,3,2,,90,4,4,3,1,2,2,2,1,2,,1,1,1,,,,2,3,6,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,1,2,1,2,1,1,2,8,2,2,2,,,,,,,,,,,,,1,2,,,,2,2,,5,2018,31,,,,,,,,,,1,0,,,,5,
6453,,6,2018,307.9412875,0,0,0,0,0,0,0,0,0,0,0,0,885596,0,3,0,3,2,1,1,,1,,,,,,,,1,2,120000,1,3000000,,,,,1,1,2,1,2,2,1,2,4,1,3,3,4,2,1,1,,1,,2,2,1,,1,2,1,2,,145,3,5,5,2,2,2,1,2,1,2,1,1,1,,,,1,1,6,4,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,8,1,1,2014,6,2250000,1,,,,,,,,,,,,,2,2,1,1,,2,2,,,2,,,2,,,,,,2,,2,,1,1,1,2,2,1,2,8,2,2,1,,,,,,,,2,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,540000,,,,3,3289635.474
6455,,6,2018,584.7056611,0,0,0,0,0,0,0,0,0,0,0,0,230400,0,2,0,2,1,1,,,5,,,70000,,,,,2,2,20000,1,,,,,,2,,,,,,1,1,1,5,3,3,2,2,5,,,2,3000,,,4,1,2,4,,2,,47,3,2,1,2,2,2,2,1,2,,0,2,,2,,,1,3,1,3,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2,2,2,99999998,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,1,2,1,1,2,1,2,7,2,2,2,,,,,,,,,,,,,,2,,,1,2,2,,,,,,,,,,,9,2018,30,1,0,,,,5,
6458,,6,2018,511.8824952,0,0,0,0,0,0,0,0,0,0,0,13353.75,233353.75,0,3,1,2,1,1,1,,1,,,99999999,,,,,1,2,12000,1,99999998,,,,,2,,,,,,1,1,2,1,3,3,3,3,1,1,,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,1,2,2,2,7,2,2,1,2,,,,,,,2,,,,,,2,,,,2,1,1,,,,,,,,,,0,,,1,800000,12,3,,2,
6461,,6,2018,1307.883541,0,0,0,0,0,0,0,0,0,0,0,0,265680,0,2,0,2,1,1,,,15,,,99999998,99999998,,,,2,2,15000,1,,,,,,2,,,,,,1,1,2,15,4,3,2,2,15,,,2,3500,,,2,0,3,1,,2,,50,2,2,2,2,2,2,2,1,2,,0,2,,1,,20,2,3,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,99999998,99999998,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,1,2,1,1,1,2,2,6,2,2,1,,,,,,,,,,,,,,2,,,,2,2,,0,,,,,,,,,0,,,2,0,,,,4,
6463,,6,2018,618.7820484,0,0,0,0,0,0,0,0,0,0,0,45570,129570,0,1,0,1,1,0,1,,7,,,,,,,,2,2,0,2,,,,,,2,,,,,,2,,6,7,3,3,4,5,7,,1,2,990,,,4,,2,7,4,2,,40,4,2,2,2,2,2,2,1,2,,0,2,,,,,3,2,4,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,2,2,2,5,,,,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,1,
6464,,6,2018,714.3173156,0,0,0,0,0,0,0,0,0,0,0,25510.75,362302.25,0,5,3,2,1,1,1,,5,,,,,,,99999999,2,1,99999999,1,,,,,,2,,,,,,1,1,3,5,99999998,3,4,3,5,,1,2,99999998,,,4,,2,3,4,2,,110,3,4,4,2,2,2,2,2,2,,0,,,,,,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,99999999,99999999,99999999,99999999,99999999,99999999,99999999,8,2,2,1,2,2,2,2,1,2,2,,,,,,,99999999,,,,99999999,1,2,,,,,,,,,,,,,1,0,7,,,99999999,
6467,,6,2018,402.4547267,0,0,0,0,0,0,0,0,0,0,0,2333.666667,98333.66667,0,3,1,2,1,1,,,6,,,,,,,,2,2,30000,1,99999998,,,,,2,,,,,,1,1,1,6,99999998,3,2,2,6,,,1,,,,1,2,3,3,,1,,150,3,5,2,1,1,2,1,2,1,2,0,,,2,,,2,3,4,1,2,2,1,2,2,2,1,2,1,1,2,2,1,2,2,2,2,10,2,,,,,,,,,99999998,,,,2,2,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,3,2,2,1,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,2,0,,,,1,
6469,,6,2018,1112.257624,0,0,0,0,0,0,0,0,0,0,0,17352,42422,0,2,0,2,0,2,1,,2,,,,,,,60000,2,1,10000,1,99999998,,,,,2,,,,,,1,1,3,2,3,2,4,5,2,1,,1,,2,2,5,,,,,2,,100,3,3,3,2,2,2,2,2,1,2,0,2,,,,,2,3,5,3,2,2,1,2,2,,1,1,2,2,2,2,2,2,2,2,2,7,2,,,,,,99999998,99999998,3,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,3,2,1,1,2,2,1,2,1,2,2,,,,,,,2,,,,2,1,1,,,,,,,,,,,,,1,0,12,4,,1,
6470,,6,2018,96.66622338,0,0,0,0,0,0,0,0,0,0,0,1200,208365,0,3,1,2,1,1,1,,1,,,,,,,50000,2,1,15000,1,800000,,,,,2,,,,,,1,2,2,1,2,3,3,2,1,1,,1,,2,2,4,,1,3,1,2,,145,3,3,1,1,2,1,2,2,1,2,0,2,,,,,3,3,1,4,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,10,2,,,,,,99999998,99999998,3,,,,,,,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,3,2,2,2,,2,2,2,1,2,2,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,3,
6471,,6,2018,591.4585878,0,0,0,0,0,0,0,0,0,0,0,0,64680,0,1,0,1,1,0,,,1,,,27000,,,,,2,2,7000,1,,,,,,2,,,,,,1,1,2,1,1,2,3,2,1,,,2,2100,,,8,,,,,2,,30,4,1,1,2,2,2,2,1,2,,0,1,,1,,50,2,3,6,3,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,1,2,99999998,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,1,1,2,2,2,9,2,1,1,2,,,,,,,,,,,,,2,,,1,2,1,1,,,,,,,,,,7,2018,3,1,0,4,3,,3,
6472,,6,2018,617.0763932,0,0,0,0,0,0,0,0,0,0,0,2773.5,80773.5,0,4,2,2,1,1,,,5,,,,,,,,2,2,0,1,99999998,,,,,2,,,,,,1,1,1,5,4,4,3,3,5,,,1,,,,4,0,2,2,,2,,80,4,3,2,2,2,2,2,2,2,,0,2,,2,,,3,1,3,3,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,4,3,,,,,,,,,,,,,2,2,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,2,2,2,2,1,1,1,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,1,
6473,,6,2018,2247.845383,0,0,0,0,0,0,0,0,0,0,0,0,408000,0,1,0,1,0,1,1,,1,,,,,,,,2,2,10000,1,,,,,,2,,,,,,1,1,3,1,2,3,2,2,1,,1,2,2800,,,4,,6,2,3,2,,45,3,2,2,2,2,2,1,1,1,1,0,1,1,,,,3,1,8,2,2,2,1,1,2,,1,1,2,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,600000,2,,,2,,,,,,1,,2,,2,2,1,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,5,
